entry_time,exit_time,instrument,underlier,expiry,strike,option_type,entry_price,exit_price,quantity,gross_pnl,net_pnl,transaction_costs,holding_period_seconds
2022-11-01T13:46:59,2022-11-01T13:47:02,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.3,56.15,1,-0.15,-40.15,40.0,3.0
2022-11-01T13:46:59,2022-11-01T13:47:02,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.5,131.6,1,0.1,-39.9,40.0,3.0
2022-11-01T13:47:02,2022-11-01T13:47:11,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.9,77.9,1,0.0,-40.0,40.0,9.0
2022-11-01T13:47:02,2022-11-01T13:47:11,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.15,103.45,1,0.3,-39.7,40.0,9.0
2022-11-01T13:47:11,2022-11-01T13:47:12,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,55.95,56.1,1,0.15,-39.85,40.0,1.0
2022-11-01T13:47:11,2022-11-01T13:47:12,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.9,131.7,1,-0.2,-40.2,40.0,1.0
2022-11-01T13:47:12,2022-11-01T13:47:55,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.95,77.8,1,-0.15,-40.15,40.0,43.0
2022-11-01T13:47:12,2022-11-01T13:47:55,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.2,103.05,1,-0.15,-40.15,40.0,43.0
2022-11-01T13:47:55,2022-11-01T13:47:56,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,55.8,55.85,1,0.05,-39.95,40.0,1.0
2022-11-01T13:47:55,2022-11-01T13:47:56,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.7,131.7,1,0.0,-40.0,40.0,1.0
2022-11-01T13:47:56,2022-11-01T13:48:01,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.8,78.05,1,0.25,-39.75,40.0,5.0
2022-11-01T13:47:56,2022-11-01T13:48:01,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.05,103.05,1,0.0,-40.0,40.0,5.0
2022-11-01T13:48:01,2022-11-01T13:55:44,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.1,58.0,1,1.9,-38.1,40.0,463.0
2022-11-01T13:48:01,2022-11-01T13:55:44,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.55,130.25,1,-1.3,-41.3,40.0,463.0
2022-11-01T13:55:44,2022-11-01T13:55:51,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,79.9,79.15,1,-0.75,-40.75,40.0,7.0
2022-11-01T13:55:44,2022-11-01T13:55:51,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.6,103.0,1,0.4,-39.6,40.0,7.0
2022-11-01T13:55:51,2022-11-01T13:55:52,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,57.45,57.4,1,-0.05,-40.05,40.0,1.0
2022-11-01T13:55:51,2022-11-01T13:55:52,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.2,130.85,1,-0.35,-40.35,40.0,1.0
2022-11-01T13:55:52,2022-11-01T13:56:16,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,79.1,78.7,1,-0.4,-40.4,40.0,24.0
2022-11-01T13:55:52,2022-11-01T13:56:16,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.85,102.85,1,0.0,-40.0,40.0,24.0
2022-11-01T13:56:16,2022-11-01T13:56:17,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,57.0,56.8,1,-0.2,-40.2,40.0,1.0
2022-11-01T13:56:16,2022-11-01T13:56:17,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.25,131.25,1,0.0,-40.0,40.0,1.0
2022-11-01T13:56:17,2022-11-01T13:56:31,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.45,78.95,1,0.5,-39.5,40.0,14.0
2022-11-01T13:56:17,2022-11-01T13:56:31,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.85,103.15,1,0.3,-39.7,40.0,14.0
2022-11-01T13:56:31,2022-11-01T13:56:32,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,57.15,57.35,1,0.2,-39.8,40.0,1.0
2022-11-01T13:56:31,2022-11-01T13:56:32,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.1,130.0,1,-1.1,-41.1,40.0,1.0
2022-11-01T13:56:32,2022-11-01T13:56:33,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,79.2,79.35,1,0.15,-39.85,40.0,1.0
2022-11-01T13:56:32,2022-11-01T13:56:33,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.5,101.85,1,-0.65,-40.65,40.0,1.0
2022-11-01T13:56:33,2022-11-01T13:56:37,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,57.7,57.7,1,0.0,-40.0,40.0,4.0
2022-11-01T13:56:33,2022-11-01T13:56:37,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.0,129.5,1,-0.5,-40.5,40.0,4.0
2022-11-01T13:56:37,2022-11-01T13:56:39,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,79.85,79.6,1,-0.25,-40.25,40.0,2.0
2022-11-01T13:56:37,2022-11-01T13:56:39,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,101.7,101.85,1,0.15,-39.85,40.0,2.0
2022-11-01T13:56:39,2022-11-01T13:56:41,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,57.65,57.6,1,-0.05,-40.05,40.0,2.0
2022-11-01T13:56:39,2022-11-01T13:56:41,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,129.45,130.35,1,0.9,-39.1,40.0,2.0
2022-11-01T13:56:41,2022-11-01T13:56:42,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,79.5,79.45,1,-0.05,-40.05,40.0,1.0
2022-11-01T13:56:41,2022-11-01T13:56:42,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.6,102.55,1,-0.05,-40.05,40.0,1.0
